number,location,WaffelPackno,WaffelPackrow,WaffelPackcol,WaferID,Waferrow,Wafercol,BINcode
35494_043_PSP_MAINL,1,13,3,3,N6Y21502D1,-4,6,49
,2,13,3,2,N6Y21502D1,-4,5,49
,3,13,3,1,N6Y21502D1,-4,4,49
,4,13,2,6,N6Y21502D1,-3,2,49
,5,13,2,5,N6Y21502D1,-3,1,49
,6,13,2,4,N6Y21502D1,-4,0,49
,7,13,2,3,N6Y21502D1,-4,1,49
,8,13,2,2,N6Y21502D1,-4,2,49
,9,13,2,1,N6Y21502D1,-4,3,49
,10,13,1,6,N6Y21502D1,-3,3,49
,11,13,1,5,N6Y21502D1,-3,4,49
,12,13,1,4,N6Y21502D1,-3,5,49
,13,13,1,3,N6Y21502D1,-3,6,49
,14,13,1,2,N6Y21502D1,-3,7,49
,15,13,1,1,N6Y21502D1,-3,8,49
,16,14,3,6,N6Y21502D1,-5,18,49
