No.,Module,Bondposition,MPA,Wafer ID,Row,Column,Bin
3,1,D1-bp ,1,N6Y21503C4 ,-2,4,49
3,1,D2-bp ,2,N6Y21503C4 ,-2,5,49
3,2,D1-bp ,3,N6Y21503C4 ,-2,6,49
3,2,D2-bp ,4,N6Y21503C4 ,-2,7,49
3,3,D1-bp ,5,N6Y21503C4 ,-2,9,49
3,3,D2-bp ,6,N6Y21503C4 ,-2,10,49
3,4,D1-bp ,7,N6Y21503C4 ,-2,11,49
3,4,D2-bp ,8,N6Y21503C4 ,-2,13,49
3,5,D1-bp ,9,N6Y21503C4 ,-2,14,49
3,5,D2-bp ,10,N6Y21503C4 ,-2,15,49
3,6,D1-bp ,11,N6Y21503C4 ,-2,16,49
3,6,D2-bp ,12,N6Y21503C4 ,-2,17,49
3,7,D1-bp ,13,N6Y21503C4 ,-2,18,49
3,7,D2-bp ,14,N6Y21503C4 ,-2,19,49
3,8,D1-bp ,15,N6Y21503C4 ,-2,20,49
3,8,D2-bp ,16,N6Y21503C4 ,-3,21,49
