Substrate Module Bondposition MPA Wafer-ID Row Column Bin ,column1,column2,column3,column4,column5,column6,column7
1,1,D1-bp ,1,N6Y21504B7 ,0,11,49
1,1,D2-bp ,2,N6Y21504B7 ,0,12,49
1,2,D1-bp ,3,N6Y21504B7 ,0,13,49
1,2,D2-bp ,4,N6Y21504B7 ,-1,17,49
1,3,D1-bp ,5,N6Y21504B7 ,-1,16,49
1,3,D2-bp ,6,N6Y21504B7 ,-1,15,49
1,4,D1-bp ,7,N6Y21504B7 ,-3,17,49
1,4,D2-bp ,8,N6Y21504B7 ,-1,13,49
1,5,D1-bp ,9,N6Y21504B7 ,-3,16,49
1,5,D2-bp ,10,N6Y21504B7 ,-1,11,49
1,6,D1-bp ,11,N6Y21504B7 ,-2,18,49
1,6,D2-bp ,12,N6Y21504B7 ,-2,19,49
1,7,D1-bp ,13,N6Y21504B7 ,-3,21,49
1,7,D2-bp ,14,N6Y21504B7 ,-3,20,49
1,8,D1-bp ,15,N6Y21504B7 ,-3,19,49
1,8,D2-bp ,16,N6Y21504B7 ,-3,18,49
2,1,D1-bp ,1,N6Y21504B7 ,-1,4,49
2,1,D2-bp ,2,N6Y21504B7 ,-2,2,49
2,2,D1-bp ,3,N6Y21504B7 ,-2,3,49
2,2,D2-bp ,4,N6Y21504B7 ,-2,4,49
2,3,D1-bp ,5,N6Y21504B7 ,-2,5,49
2,3,D2-bp ,6,N6Y21504B7 ,-2,6,49
2,4,D1-bp ,7,N6Y21504B7 ,-2,7,49
2,4,D2-bp ,8,N6Y21504B7 ,-2,8,49
2,5,D1-bp ,9,N6Y21504B7 ,-2,9,49
2,5,D2-bp ,10,N6Y21504B7 ,-2,10,49
2,6,D1-bp ,11,N6Y21504B7 ,-2,11,49
2,6,D2-bp ,12,N6Y21504B7 ,-2,12,49
2,7,D1-bp ,13,N6Y21504B7 ,-2,13,49
2,7,D2-bp ,14,N6Y21504B7 ,-2,14,49
2,8,D1-bp ,15,N6Y21504B7 ,-2,15,49
2,8,D2-bp ,16,N6Y21504B7 ,-2,16,49
3,1,D1-bp ,1,N6Y21503C4 ,-2,4,49
3,1,D2-bp ,2,N6Y21503C4 ,-2,5,49
3,2,D1-bp ,3,N6Y21503C4 ,-2,6,49
3,2,D2-bp ,4,N6Y21503C4 ,-2,7,49
3,3,D1-bp ,5,N6Y21503C4 ,-2,9,49
3,3,D2-bp ,6,N6Y21503C4 ,-2,10,49
3,4,D1-bp ,7,N6Y21503C4 ,-2,11,49
3,4,D2-bp ,8,N6Y21503C4 ,-2,13,49
3,5,D1-bp ,9,N6Y21503C4 ,-2,14,49
3,5,D2-bp ,10,N6Y21503C4 ,-2,15,49
3,6,D1-bp ,11,N6Y21503C4 ,-2,16,49
3,6,D2-bp ,12,N6Y21503C4 ,-2,17,49
3,7,D1-bp ,13,N6Y21503C4 ,-2,18,49
3,7,D2-bp ,14,N6Y21503C4 ,-2,19,49
3,8,D1-bp ,15,N6Y21503C4 ,-2,20,49
3,8,D2-bp ,16,N6Y21503C4 ,-3,21,49
4,1,D1-bp ,1,N6Y21503C4 ,-3,20,49
4,1,D2-bp ,2,N6Y21503C4 ,-3,19,49
4,2,D1-bp ,3,N6Y21503C4 ,-3,18,49
4,2,D2-bp ,4,N6Y21503C4 ,-3,16,49
4,3,D1-bp ,5,N6Y21503C4 ,-3,15,49
4,3,D2-bp ,6,N6Y21503C4 ,-3,14,49
4,4,D1-bp ,7,N6Y21503C4 ,-3,13,49
4,4,D2-bp ,8,N6Y21503C4 ,-3,12,49
4,5,D1-bp ,9,N6Y21503C4 ,-3,11,49
4,5,D2-bp ,10,N6Y21503C4 ,-3,10,49
4,6,D1-bp ,11,N6Y21503C4 ,-3,9,49
4,6,D2-bp ,12,N6Y21503C4 ,-3,8,49
4,7,D1-bp ,13,N6Y21503C4 ,-3,7,49
4,7,D2-bp ,14,N6Y21503C4 ,-3,6,49
4,8,D1-bp ,15,N6Y21503C4 ,-3,5,49
4,8,D2-bp ,16,N6Y21503C4 ,-3,4,49
